designation,price,image,brand
Blouson cuir noir,24900,https://img.la-canadienne.com/0b724ed59c83f6e284c0359289845c95.jpg?h=485&w=303,La Canadienne
Legging cuir stretch noir,39900,https://img.la-canadienne.com/5ce9cdd3508d2a688961bafe03f5cd5c.jpg?h=485&w=303,La Canadienne
Blouson agneau noir,29900,https://img.la-canadienne.com/564c02c5c7171d680f27b1b8bf006a65.jpg?h=485&w=303,La Canadienne
Blouson en cuir agneau noir,29900,https://img.la-canadienne.com/98c3375150432eb81328adea3212e533.jpg?h=485&w=303,La Canadienne
Blouson cuir marron femme,29900,https://img.la-canadienne.com/c9d82f60417fe5586d59fdbaf4a45454.jpg?h=485&w=303,La Canadienne
Blouson agneau noir,21900,https://img.la-canadienne.com/9567b3f6a88d7343797a4bb0975601de.jpg?h=485&w=303,La Canadienne
Col fourrure amovible pour capuche,19500,https://img.la-canadienne.com/77dbb19ee26291afbdf786c634ef79a9.jpg?h=485&w=303,La Canadienne
Gilet long fourrure de lapin noir,21900,https://img.la-canadienne.com/f8babe2449a5def746e13411273c4c47.jpg?h=485&w=303,La Canadienne
Gilet en lapin noir,29500,https://img.la-canadienne.com/40f2a6429aeb411a7a682231be9cfdee.jpg?h=485&w=303,La Canadienne
Snood fourrure lapin kaki gris,16900,https://img.la-canadienne.com/090d4fef06c6c767fbd9cbac8ef74216.jpg?h=485&w=303,La Canadienne
